Region,Year ,Month,Price
Sawtelle,2010,1,580700
Silver Lake,2010,1,573600
Southeast Los Angeles,2010,1,155300
West Adams,2010,1,272300
Westwood,2010,1,661000
Bel Air,2010,3,1176000
Boyle Heights,2010,3,201600
Central City,2010,3,185600
Century City,2010,3,715900
Crenshaw,2010,3,314000
Downtown,2010,3,415700
Eagle Rock,2010,3,411200
Echo Park,2010,3,379200
Harbor City,2010,3,268500
Highland Park,2010,3,333800
Hollywood,2010,3,467500
Hyde Park,2010,3,222500
Jefferson Park,2010,3,272500
Koreatown,2010,3,361800
Los Feliz,2010,3,689300
Mid City,2010,3,395700
Mid Wilshire,2010,3,532100
Palms,2010,3,537600
Pico-Union,2010,3,294600
Sawtelle,2010,3,576600
Silver Lake,2010,3,567000
Southeast Los Angeles,2010,3,153700
West Adams,2010,3,272000
Westwood,2010,3,663800
Bel Air,2010,5,1175200
Boyle Heights,2010,5,196400
Central City,2010,5,181500
Century City,2010,5,721200
Crenshaw,2010,5,309200
Downtown,2010,5,410900
Eagle Rock,2010,5,420000
Echo Park,2010,5,379800
Harbor City,2010,5,270300
Highland Park,2010,5,335100
Hollywood,2010,5,466300
Hyde Park,2010,5,228900
Jefferson Park,2010,5,264500
Koreatown,2010,5,355600
Los Feliz,2010,5,682800
Mid City,2010,5,390300
Mid Wilshire,2010,5,523100
Palms,2010,5,539400
Pico-Union,2010,5,291700
Sawtelle,2010,5,576000
Silver Lake,2010,5,571200
Southeast Los Angeles,2010,5,155000
West Adams,2010,5,269400
Westwood,2010,5,658100
Bel Air,2010,7,1178700
Boyle Heights,2010,7,191500
Central City,2010,7,173200
Century City,2010,7,717300
Crenshaw,2010,7,306700
Downtown,2010,7,406200
Eagle Rock,2010,7,418200
Echo Park,2010,7,370700
Harbor City,2010,7,268200
Highland Park,2010,7,332800
Hollywood,2010,7,458900
Hyde Park,2010,7,232400
Jefferson Park,2010,7,257600
Koreatown,2010,7,348100
Los Feliz,2010,7,672400
Mid City,2010,7,386600
Mid Wilshire,2010,7,516800
Palms,2010,7,530700
Pico-Union,2010,7,287700
Sawtelle,2010,7,574700
Silver Lake,2010,7,557400
Southeast Los Angeles,2010,7,155200
West Adams,2010,7,264700
Westwood,2010,7,651900
Bel Air,2010,9,1176500
Boyle Heights,2010,9,183800
Central City,2010,9,167600
Century City,2010,9,703200
Crenshaw,2010,9,307100
Downtown,2010,9,406100
Eagle Rock,2010,9,418300
Echo Park,2010,9,376100
Harbor City,2010,9,265200
Highland Park,2010,9,331300
Hollywood,2010,9,454500
Hyde Park,2010,9,233500
Jefferson Park,2010,9,252100
Koreatown,2010,9,346000
Los Feliz,2010,9,660300
Mid City,2010,9,384500
Mid Wilshire,2010,9,505600
Palms,2010,9,529500
Pico-Union,2010,9,283200
Sawtelle,2010,9,565200
Silver Lake,2010,9,555000
Southeast Los Angeles,2010,9,155300
West Adams,2010,9,265200
Westwood,2010,9,633500
Bel Air,2010,11,1179900
Boyle Heights,2010,11,182200
Central City,2010,11,167100
Century City,2010,11,701100
Crenshaw,2010,11,293000
Downtown,2010,11,406100
Eagle Rock,2010,11,418300
Echo Park,2010,11,386400
Harbor City,2010,11,257400
Highland Park,2010,11,331200
Hollywood,2010,11,451500
Hyde Park,2010,11,233100
Jefferson Park,2010,11,249000
Koreatown,2010,11,341200
Los Feliz,2010,11,660700
Mid City,2010,11,371800
Mid Wilshire,2010,11,503600
Palms,2010,11,527000
Pico-Union,2010,11,274600
Sawtelle,2010,11,554600
Silver Lake,2010,11,562100
Southeast Los Angeles,2010,11,154900
West Adams,2010,11,261900
Westwood,2010,11,625600
Bel Air,2011,1,1152600
Boyle Heights,2011,1,182200
Central City,2011,1,170300
Century City,2011,1,692000
Crenshaw,2011,1,290700
Downtown,2011,1,403000
Eagle Rock,2011,1,414300
Echo Park,2011,1,388400
Harbor City,2011,1,252400
Highland Park,2011,1,336200
Hollywood,2011,1,449200
Hyde Park,2011,1,231900
Jefferson Park,2011,1,246300
Koreatown,2011,1,342500
Los Feliz,2011,1,662700
Mid City,2011,1,367900
Mid Wilshire,2011,1,489300
Palms,2011,1,522600
Pico-Union,2011,1,270800
Sawtelle,2011,1,550100
Silver Lake,2011,1,560800
Southeast Los Angeles,2011,1,155900
West Adams,2011,1,259800
Westwood,2011,1,618700
Bel Air,2011,3,1142700
Boyle Heights,2011,3,182100
Central City,2011,3,169000
Century City,2011,3,703000
Crenshaw,2011,3,288600
Downtown,2011,3,404000
Eagle Rock,2011,3,404500
Echo Park,2011,3,393700
Harbor City,2011,3,247500
Highland Park,2011,3,336400
Hollywood,2011,3,444900
Hyde Park,2011,3,231200
Jefferson Park,2011,3,243800
Koreatown,2011,3,340900
Los Feliz,2011,3,659400
Mid City,2011,3,363000
Mid Wilshire,2011,3,475100
Palms,2011,3,512000
Pico-Union,2011,3,265100
Sawtelle,2011,3,543100
Silver Lake,2011,3,552700
Southeast Los Angeles,2011,3,156000
West Adams,2011,3,253400
Westwood,2011,3,605500
Bel Air,2011,5,1096400
Boyle Heights,2011,5,184100
Central City,2011,5,171600
Century City,2011,5,706900
Crenshaw,2011,5,287300
Downtown,2011,5,394500
Eagle Rock,2011,5,397000
Echo Park,2011,5,384100
Harbor City,2011,5,246400
Highland Park,2011,5,339400
Hollywood,2011,5,435000
Hyde Park,2011,5,228900
Jefferson Park,2011,5,245100
